-12.571, 0.02222, 5.225
-12.547, 0.02361, 7.896
-12.422, 0.02917, 1.832
-12.028, 0.01278, 1.781
-11.8,   0.00694, 2.694
-11.77,  0.00694, 2.694
-11.346, 0.00694, 2.694
-11.1,   0.00694, 2.694
-10.737, 0.02583, 20.290
-10.668, 0.00278, 1.800
-10.505, 0.00278, 5.863
-10.150, 0.002,   1.8
-9.918,  0.00278, 1.857
-9.862,  0.01250, 6.794
-9.809,  0.00556, 2.551
-9.119,  0.01528, 2.876
-8.786,  0.02278, 1.839
-8.439,  0.00417, 2.427
-8.329,  0.00417, 2.427
-7.840,  0.00556, 3.139  
-7.419,  0.00556, 3.139
-6.880,  0.00417, 2.427
-6.620,  0.00417, 2.427
-6.220,  0.00556, 3.139  
-6.055,  0.00556, 3.139
-5.359,  0.04444, 2.221
-5.125,  0.02083, 3.949
-4.129,  0.03750, 8.874
-4.110,  0.00556, 8.545
-4.083,  0.05972, 7.523
-3.882,  0.02500, 2.520
-3.539,  0.01389, 7.134
-3.011,  0.00556, 3.023
-2.286,  0.01250, 3.111
-2.221,  0.04167, 2.789
-1.765,  0.00278, 2.277
-1.020,  0.00278, 2.277
-1.010,  0.00278, 2.277
-0.735,  0.00367, 1.770
-0.720,  0.00367, 1.770
0.596,  0.00556,  2.514
1.282,  0.00694,  2.644
4.265,  0.00972,  1.975
5.294,  0.00278,  2.437
5.270,  0.00278,  2.437
5.579,  0.00278,  1.817
6.151,  0.00694,  2.044
6.179,  0.00972,  2.037
6.267,  0.04583,  1.954
6.288,  0.00278,  1.975
6.794,  0.00694,  1.930
6.947,  0.03333,  2.190
7.279,  0.01528,  12.945
7.318,  0.00556,  2.877
10.211, 0.00833,  3.563
10.578, 0.00417,  2.308
10.583, 0.00417,  1.875
10.773, 0.03750,  1.841
10.812, 0.04861,  1.989
10.904, 0.01667,  10.678
11.042, 0.04167,  2.109
13.111, 0.00278,  5.391

